class,proportion,species,run
Rolling Circle,0.567,Pteridium,2
Rolling Circle,0.408,Pteridium,3
Rolling Circle,0.156,Amborella,1
Rolling Circle,0,Amborella,2
Rolling Circle,0,Amborella,3
Rolling Circle,0,Vitis,1
Rolling Circle,0,Vitis,2
Rolling Circle,0,Vitis,3
Rolling Circle,0.266,Zea,1
Rolling Circle,0.278,Zea,2
Rolling Circle,0.256,Zea,3
Rolling Circle,0.202,Gnetum,1
Rolling Circle,0,Gnetum,2
Rolling Circle,0.024,Gnetum,3
Rolling Circle,0,Pinus,1
Rolling Circle,0,Pinus,2
Rolling Circle,0,Pinus,3
Rolling Circle,0.118,Taxus,1
Rolling Circle,0.147,Taxus,2
Rolling Circle,0.122,Taxus,3
rRNA,0.559,Ceratopteris,1
rRNA,0.522,Ceratopteris,2
rRNA,0.581,Ceratopteris,3
rRNA,0.683,Cystopteris,1
rRNA,0.779,Cystopteris,2
rRNA,0.667,Cystopteris,3
rRNA,0.333,Dipteris,1
rRNA,0.322,Dipteris,2
rRNA,0.301,Dipteris,3
rRNA,0.15,Plagiogyria,1
rRNA,0.114,Plagiogyria,2
rRNA,0.159,Plagiogyria,3
rRNA,0.91,Polypodium,1
rRNA,0.757,Polypodium,2
rRNA,0.737,Polypodium,3
rRNA,0,Pteridium,1
rRNA,0.45,Pteridium,2
rRNA,0.409,Pteridium,3
rRNA,0.125,Amborella,1
rRNA,0.184,Amborella,2
rRNA,0.155,Amborella,3
rRNA,1.1347,Vitis,1
rRNA,0.9941,Vitis,2
rRNA,0.7973,Vitis,3
rRNA,2.052,Zea,1
rRNA,2.035,Zea,2
rRNA,2.033,Zea,3
rRNA,0.688,Gnetum,1
rRNA,0.324,Gnetum,2
rRNA,0.336,Gnetum,3
rRNA,0.931,Pinus,1
rRNA,0.997,Pinus,2
rRNA,1.05,Pinus,3
rRNA,0.131,Taxus,1
rRNA,0.165,Taxus,2
rRNA,0.122,Taxus,3
Satellite,0,Ceratopteris,1
Satellite,0,Ceratopteris,2
Satellite,0.233,Ceratopteris,3
Satellite,0.051,Cystopteris,1
Satellite,0,Cystopteris,2
Satellite,0.135,Cystopteris,3
Satellite,0.035,Dipteris,1
Satellite,0.039,Dipteris,2
Satellite,0.036,Dipteris,3
Satellite,0,Plagiogyria,1
Satellite,0,Plagiogyria,2
Satellite,0,Plagiogyria,3
Satellite,0.215,Polypodium,1
Satellite,0.255,Polypodium,2
Satellite,0.227,Polypodium,3
Satellite,0,Pteridium,1
Satellite,0,Pteridium,2
Satellite,0,Pteridium,3
Satellite,0,Amborella,1
Satellite,0,Amborella,2
Satellite,0,Amborella,3
Satellite,0.1612,Vitis,1
Satellite,0.2057,Vitis,2
Satellite,0.1485,Vitis,3
Satellite,3.148,Zea,1
Satellite,3.151,Zea,2
Satellite,3.138,Zea,3
Satellite,0.162,Gnetum,1
Satellite,0.189,Gnetum,2
Satellite,0.169,Gnetum,3
Satellite,0,Pinus,1
Satellite,0.103,Pinus,2
Satellite,0.099,Pinus,3
Satellite,0.021,Taxus,1
Satellite,0.02,Taxus,2
Satellite,0.097,Taxus,3
Simple repeat,26.2,Ceratopteris,1
Simple repeat,24.604,Ceratopteris,2
Simple repeat,23.915,Ceratopteris,3
Simple repeat,18.35,Cystopteris,1
Simple repeat,15.145,Cystopteris,2
Simple repeat,18.863,Cystopteris,3
Simple repeat,6.336,Dipteris,1
Simple repeat,6.716,Dipteris,2
Simple repeat,6.257,Dipteris,3
Simple repeat,22.585,Plagiogyria,1
Simple repeat,21.498,Plagiogyria,2
Simple repeat,23.84,Plagiogyria,3
Simple repeat,17.054,Polypodium,1
Simple repeat,17.331,Polypodium,2
Simple repeat,17.504,Polypodium,3
Simple repeat,9.444,Pteridium,1
Simple repeat,12.022,Pteridium,2
Simple repeat,12.789,Pteridium,3
Simple repeat,1.832,Amborella,1
Simple repeat,2.285,Amborella,2
Simple repeat,1.198,Amborella,3
Simple repeat,0.0443,Vitis,1
Simple repeat,0.1607,Vitis,2
Simple repeat,0.0509,Vitis,3
Simple repeat,0.328,Zea,1
Simple repeat,0.123,Zea,2
Simple repeat,0.158,Zea,3
Simple repeat,5.062,Gnetum,1
Simple repeat,3.773,Gnetum,2
Simple repeat,4.332,Gnetum,3
Simple repeat,4.943,Pinus,1
Simple repeat,6.327,Pinus,2
Simple repeat,5.513,Pinus,3
Simple repeat,4.684,Taxus,1
Simple repeat,4.229,Taxus,2
Simple repeat,4.87,Taxus,3
Unknown repeat,0.046,Ceratopteris,1
Unknown repeat,0.012,Ceratopteris,2
Unknown repeat,0.035,Ceratopteris,3
